;reasons_translation_sentimentCategory;reasons_translation_sadnessCategory;reasons_translation_joyCategory;reasons_translation_fearCategory;reasons_translation_disgustCategory;reasons_translation_angerCategory;emotions_translation_sentimentCategory;emotions_translation_sadnessCategory;emotions_translation_joyCategory;emotions_translation_fearCategory;emotions_translation_disgustCategory;emotions_translation_angerCategory;strengths_translation_sentimentCategory;strengths_translation_sadnessCategory;strengths_translation_joyCategory;strengths_translation_fearCategory;strengths_translation_disgustCategory;strengths_translation_angerCategory;utilization_translation_sentimentCategory;utilization_translation_sadnessCategory;utilization_translation_joyCategory;utilization_translation_fearCategory;utilization_translation_disgustCategory;utilization_translation_angerCategory;story_translation_sentimentCategory;story_translation_sadnessCategory;story_translation_joyCategory;story_translation_fearCategory;story_translation_disgustCategory;story_translation_angerCategory
132;0,4125;0,1514;0,9184;0,682;0,4125;0,4125;0,6086;0,1243;0,3566;0,1243;0,3057;0,4125;0,682;0,4125;0,7587;1,0;0,9184;0,682;0,5389;0,3566;0,2189;0,2598;0,5389;0,065;0,4734;0,0076;0,0515;0,0138;0,0021;0,1011
133;0,2654;0,2654;0,418;0,8396;0,7614;0,418;0,418;0,0197;0,2243;0,0851;0,6856;0,0851;0,2654;0,6128;0,2654;0,9194;0,3622;0,0197;1,0;0,5436;0,1287;1,0;0,2243;0,5436;0,8396;0,188;0,6856;0,015;0,0084;0,015
134;0,1976;0,7663;0,6203;0,7663;0,9211;0,6203;0,6203;0,7663;0,1652;0,4879;1,0;0,4879;0,7663;0,1976;0,9211;0,9211;0,4279;0,1976;0,6919;0,0473;0,6919;0,4279;0,9211;0,4279;1,0;0,6203;0,5522;0,0291;0,3217;0,0743
135;0,2229;0,0571;0,4647;0,5919;0,1573;0,5263;0,3543;0,9611;0,733;0,1306;0,5263;0,0711;0,0218;0,8075;0,0455;0,0128;0,3543;0,188;0,5919;0,306;0,733;0,8075;0,6609;0,0571;0,0711;0,3543;0,0168;0,188;0,0128;0,0281
136;0,0042;0,1744;0,0439;0,1221;0,083;0,1011;0,083;0,1221;0,0042;0,0547;0,1465;0,0547;0,083;0,4825;0,0216;0,2417;0,8883;0,2417;0,7431;0,0439;0,2417;0,7431;0,2814;0,0676;0,1465;0,0168;0,0099;0,083;0,0004;0,013
137;0,7677;0,8439;0,9216;0,4906;0,6225;0,5546;0,1149;0,0939;0,9216;0,2786;0,9216;0,4906;0,4906;0,3754;0,1395;0,3754;0,8439;0,8439;0,8439;0,5546;0,5546;0,1395;1,0;0,3754;0,3247;1,0;0,7677;0,2786;0,5546;0,0761
138;0,8814;0,3448;0,6546;0,8037;0,5181;0,6546;0,5845;0,8814;0,8037;0,4558;0,5181;0,2527;0,5181;0,398;0,3448;0,0816;0,4558;0,0656;0,6546;0,5181;0,2964;0,398;0,0656;0,398;0,9604;0,1793;0,5845;0,0012;0,0017;0,0003
139;0,1393;0,0447;0,46;0,46;0,5977;0,5977;0,8328;0,5977;0,2052;0,3984;0,1699;0,0447;0,1132;0,5977;0,2052;0,46;0,0726;0,1393;0,8328;0,1699;0,2911;0,6729;0,2455;0,0447;0,3421;0,0002;0,1393;0,0005;0,0;0,0001
140;0,5047;0,0208;0,1365;0,3295;0,2378;0,2811;0,5724;0,5724;0,4414;0,4414;0,4414;0,1365;0,2378;0,2811;0,9591;0,6442;0,6442;0,8777;0,7194;0,0352;0,1994;0,0352;0,0902;0,0017;0,7194;0,0024;0,0034;0,0001;0,0;0,0
141;0,338;0,801;0,8798;0,3913;0,8798;0,65;0,8798;0,2074;0,0959;0,2074;0,0959;0,1733;0,65;0,65;0,338;0,0231;0,8798;0,65;0,801;0,0491;0,8798;0,7242;0,5122;0,2461;0,4495;0,5122;0,0231;0,0619;0,0007;0,004
142;0,5836;0,4649;0,0675;0,5836;0,7148;0,4649;0,4109;0,3149;0,5225;0,855;0,3609;0,4109;0,2349;0,7148;0,7148;0,1437;0,784;0,4649;0,1202;0,9272;0,2008;0,784;0,4109;0,4649;0,0824;0,855;0,784;0,1704;0,0282;0,0443
143;0,4265;0,0057;0,0679;0,2065;0,1014;0,0441;0,0351;0,9627;0,1014;0,6738;0,3741;0,2421;0,5431;0,5431;0,8151;0,9627;0,8151;0,8884;0,9627;0,6738;0,0679;0,4829;0,8151;0,0549;0,4829;0,1748;0,0017;0,01;0,1469;0,0277
144;0,4849;0,0896;0,4849;0,8418;0,8418;0,7647;0,3691;0,8418;0,3183;0,9205;0,1623;0,1343;0,3691;0,7647;0,4247;0,6898;0,1944;0,0896;0,3183;0,0578;0,2723;0,5494;0,0458;0,0578;0,7647;0,001;0,0896;0,0001;0,0;0,0
145;0,9599;0,0971;0,9599;0,9599;0,4511;0,8017;0,7251;0,3397;0,393;0,5137;0,2478;0,0306;0,209;0,6512;0,5805;0,5805;0,4511;0,3397;0,5805;0,0236;0,0971;0,4511;0,0971;0,0137;0,9599;0,0236;0,2913;0,0137;0,0003;0,0236
146;0,5704;0,1559;1,0;0,7767;1,0;0,7052;0,508;0,3443;0,7767;1,0;0,7052;0,2981;0,5704;0,1077;0,85;0,6363;0,9247;0,5704;0,7767;0,6363;0,7052;0,6363;0,3443;0,5704;0,7052;0,5704;0,3947;0,0722;0,0024;0,0045
147;0,7044;0,0876;0,8496;0,3933;1,0;0,9244;0,7044;0,3933;0,5693;0,6353;0,6353;0,1546;0,3428;1,0;0,7044;0,3933;0,7044;0,9244;0,3428;0,8496;0,1067;0,8496;0,9244;0,5067;1,0;0,0032;0,1841;0,0;0,0001;0,0
